,Word,Counts
447,tillest,1
448,henceforth,27
449,yield,23
450,strength,128
451,fugitive,2
452,vagabond,3
453,My,233
454,punishment,19
455,can,192
456,bear,188
457,driven,46
458,come,1416
459,findeth,23
460,slay,103
461,whosoever,120
462,slayeth,4
463,vengeance,26
464,sevenfold,1
465,mark,18
466,finding,10
467,kill,103
468,dwelt,206
469,Nod,0
470,Enoch,8
471,builded,32
472,city,424
473,son,1206
474,born,124
475,Irad,1
476,begat,139
477,Mehujael,1
478,Methusael,1
479,Lamech,7
480,wives,59
481,Adah,6
482,other,401
483,Zillah,0
484,Jabal,0
485,such,223
486,dwell,297
487,tents,21
488,Jubal,0
489,handle,10
490,harp,8
491,organ,1
492,Tubalcain,1
493,instructer,1
494,artificer,1
495,brass,34
496,iron,33
497,sister,49
498,Naamah,3
499,Hear,84
500,hearken,105
501,speech,31
502,slain,121
503,wounding,0
504,young,268
505,hurt,29
506,avenged,16
507,truly,28
508,seventy,58
509,Seth,4
510,appointed,106
511,another,222
512,Enos,4
513,began,171
514,men,1008
515,book,134
516,Male,1
517,lived,50
518,hundred,449
519,thirty,147
520,begotten,23
521,eight,64
522,sons,746
523,daughters,126
524,nine,42
525,died,83
526,five,249
527,seven,365
528,twelve,108
529,ninety,23
530,Cainan,4
531,fifteen,22
532,Mahalaleel,4
533,forty,140
534,ten,212
535,sixty,9
536,Jared,4
537,Methuselah,4
538,walked,106
539,three,390
540,eighty,3
541,Noah,23
542,comfort,48
543,concerning,204
544,toil,3
545,hands,272
546,old,248
547,Shem,4
548,Ham,2
549,Japheth,2
550,That,330
551,fair,35
552,chose,25
553,spirit,206
554,always,46
555,strive,14
556,yet,531
557,twenty,250
558,There,211
559,giants,4
560,those,422
561,mighty,242
562,renown,2
563,wickedness,59
564,imagination,14
565,thoughts,37
566,heart,434
567,only,152
568,continually,39
569,repented,29
570,grieved,23
571,destroy,221
572,fowls,50
573,repenteth,3
574,grace,111
575,just,57
576,perfect,63
577,corrupt,23
578,filled,137
579,violence,33
580,looked,99
581,corrupted,13
582,end,224
583,through,399
584,Make,46
585,ark,159
586,gopher,1
587,wood,57
588,rooms,4
589,pitch,14
590,within,164
591,fashion,12
592,length,62
593,cubits,67
594,breadth,71
595,fifty,118
596,height,47
597,A,233
598,window,8
599,cubit,22
600,finish,9
601,side,223
602,lower,16
603,stories,2
604,even,1200
605,do,1076
606,flood,23
607,establish,42
608,covenant,195
609,sort,10
610,alive,30
611,gather,140
612,according,692
613,Come,80
614,house,1162
615,seen,220
616,righteous,145
617,generation,51
618,clean,53
619,by,2131
620,sevens,0
621,beasts,95
622,cause,269
623,nights,3
624,substance,30
625,off,344
626,six,171
627,hundredth,3
628,year,232
629,Noahs,0
630,month,86
631,seventeenth,6
632,fountains,14
633,broken,128
634,windows,19
635,selfsame,15
636,entered,101
637,They,400
638,bird,15
639,shut,93
640,increased,32
641,lift,83
642,prevailed,25
643,exceedingly,19
644,high,307
645,hills,27
646,covered,87
647,Fifteen,1
648,upward,14
649,prevail,17
650,mountains,80
651,All,193
652,destroyed,111
653,things,701
654,remained,47
655,remembered,47
656,wind,66
657,assuaged,0
658,stopped,9
659,restrained,6
660,returned,141
661,abated,4
662,Ararat,0
663,decreased,1
664,until,334
665,tenth,64
666,tops,10
667,raven,5
668,fro,16
669,dried,32
670,Also,96
671,dove,10
672,no,1251
673,rest,197
674,sole,11
675,foot,60
676,pulled,7
677,stayed,20
678,lo,7
679,olive,32
680,leaf,9
681,plucked,23
682,removed,70
683,covering,33
684,twentieth,34
685,spake,517
686,Go,179
687,Bring,46
688,breed,2
689,Every,58
690,kinds,7
691,altar,176
692,offered,118
693,burnt,322
694,offerings,120
695,smelled,2
696,sweet,93
697,savor,27
698,curse,60
699,mans,0
700,youth,14
701,smite,105
702,While,28
703,remaineth,30
704,seedtime,1
705,harvest,27
706,cold,11
707,heat,14
708,summer,22
709,winter,6
710,cease,34
711,fear,264
712,dread,7
713,fishes,10
714,delivered,261
715,liveth,19
716,lives,14
717,require,25
718,Whoso,30
719,sheddeth,2
720,shed,43
721,therein,52
722,cut,303
723,token,12
724,perpetual,26
725,bow,59
726,cloud,61
727,remember,91
728,look,122
729,everlasting,77
730,established,54
731,Canaan,17
732,overspread,0
733,husbandman,4
734,vineyard,22
735,drank,11
736,wine,96
737,drunken,13
738,uncovered,12
739,tent,46
740,nakedness,22
741,brethren,192
742,garment,31
743,laid,258
744,shoulders,7
745,backward,3
746,faces,42
747,fathers,214
748,awoke,4
